Cell Number,Pink Line Length,Yellow Line Length,Area
1,182.69373278796402,98.49365461794989,14463.0
2,41.182520563948,23.706539182259394,678.5
3,24.041630560342615,19.79898987322333,297.5
4,24.041630560342615,19.79898987322333,701.0
