Cell Number,Centroid,Radii,Max/Min Radius,Closest Opposite Polygon Points,Distance Min/Max,Max Dimensions
1,"(406, 281)","83.24, 83.41, 85.00, 85.21, 86.02, 86.84, 87.66, 87.92, 88.75, 89.04, 89.89, 93.06, 92.59, 93.47, 93.47, 94.43, 94.02, 94.54, 94.15, 95.63, 95.27, 95.86, 95.52, 96.14, 95.82, 96.46, 96.46, 97.12, 96.84, 97.53, 94.00, 93.01, 93.02, 91.09, 91.09, 90.14, 90.27, 89.27, 89.36, 86.58, 86.70, 85.84, 84.85, 84.01, 84.01, 79.83, 80.05, 71.31, 70.38, 69.86, 68.94, 67.08, 66.19, 65.76, 64.88, 64.01, 63.13, 62.77, 61.06, 60.75, 59.08, 58.82, 57.20, 56.40, 55.61, 55.44, 54.67, 54.56, 53.08, 53.04, 52.33, 51.62, 50.93, 51.09, 49.82, 50.00, 49.41, 49.40, 48.88, 49.24, 48.30, 47.85, 47.42, 47.93, 46.82, 47.43, 46.10, 46.87, 49.40, 48.85, 53.00, 52.70, 54.41, 54.20, 55.44, 56.08, 57.38, 57.31, 58.69, 58.69, 59.41, 59.46, 60.21, 60.96, 62.48, 62.63, 64.20, 64.40, 65.22, 66.29, 67.12, 67.42, 68.26, 68.96, 69.84, 70.71, 71.59, 72.01, 73.79, 74.25, 75.15, 76.56, 77.47, 78.55, 79.48, 84.48, 84.20, 85.87, 85.62, 87.10, 86.88, 87.66, 87.48, 88.46, 88.28, 89.11, 88.96, 89.94, 89.68, 90.55, 90.27, 91.27, 91.55, 90.67, 91.08, 90.09, 90.26, 89.44, 89.63, 87.86, 88.07, 80.32, 79.38, 76.69, 75.77, 74.25, 73.35, 72.01, 71.12, 69.46, 68.60, 68.26, 67.42, 66.03, 64.40, 64.20, 63.41, 62.37, 61.62, 61.55, 60.83, 60.14, 59.46, 59.55, 58.26, 58.41, 57.80, 58.01, 57.43, 56.86, 54.71, 55.07, 53.67, 54.63, 54.23, 53.85, 53.14, 53.76, 51.16, 50.09, 50.80, 51.97, 52.63, 53.85","Max Radius: 97.53 at point (312, 255)","Min Radius: 46.10 at point (396, 326)","Closest Opposite Polygon Point (Min): (410, 230)","Closest Opposite Polygon Point (Max): (491, 300)",Distance between Min Radius and Opposite: 97,Distance between Max Radius and Opposite: 185,"Max Width: 92, Max Height: 195"
2,"(146, 360)","25.06, 24.70, 13.04, 11.40, 11.40, 10.77, 11.66, 10.82, 11.40, 10.82, 11.66, 12.08, 13.00, 12.65, 12.37, 13.34, 14.14, 14.87, 14.42, 13.60, 13.45, 12.73, 13.45, 12.81, 13.42, 13.42, 13.93, 13.15, 12.37, 12.37, 10.82, 12.73, 13.00, 14.87, 17.03, 18.03, 21.21, 21.21, 22.36","Max Radius: 25.06 at point (134, 338)","Min Radius: 10.77 at point (136, 364)","Closest Opposite Polygon Point (Min): (158, 357)","Closest Opposite Polygon Point (Max): (151, 374)",Distance between Min Radius and Opposite: 23,Distance between Max Radius and Opposite: 40,"Max Width: 21, Max Height: 50"
3,"(453, 186)","12.04, 12.73, 12.04, 12.53, 11.70, 9.90, 9.22, 9.43, 8.54, 9.22, 9.06, 9.00, 9.85, 9.90, 9.22, 10.30, 9.00, 7.07, 7.28, 6.71, 8.49, 7.81, 8.60, 9.49, 9.49","Max Radius: 12.73 at point (444, 177)","Min Radius: 6.71 at point (459, 183)","Closest Opposite Polygon Point (Min): (447, 193)","Closest Opposite Polygon Point (Max): (460, 193)",Distance between Min Radius and Opposite: 16,Distance between Max Radius and Opposite: 23,"Max Width: 13, Max Height: 25"
4,"(17, 20)","24.84, 21.93, 20.52, 19.10, 17.80, 16.40, 15.26, 13.42, 13.00, 11.70, 10.77, 9.22, 8.25, 5.39, 4.47, 6.08, 6.08, 7.00, 7.07, 10.44, 10.77, 12.08, 15.56, 15.62, 17.20, 17.49, 18.36, 18.38, 19.31, 19.92","Max Radius: 24.84 at point (1, 1)","Min Radius: 4.47 at point (19, 24)","Closest Opposite Polygon Point (Min): (19, 24)","Closest Opposite Polygon Point (Max): (19, 25)",Distance between Min Radius and Opposite: 0,Distance between Max Radius and Opposite: 30,"Max Width: 8, Max Height: 49"
