Cell Number,Centroid,Radii,Max/Min Radius,Closest Opposite Polygon Points,Distance Min/Max,Max Dimensions
1,"(340, 326)","79.06, 79.32, 80.99, 82.49, 83.35, 83.73, 84.60, 89.16, 90.08, 91.00, 90.62, 93.92, 93.61, 95.88, 95.60, 96.57, 96.30, 97.02, 96.77, 97.74, 95.89, 93.65, 93.54, 92.44, 92.27, 91.20, 91.14, 90.09, 90.05, 89.02, 89.01, 88.00, 89.27, 88.46, 88.65, 87.10, 87.10, 86.35, 86.83, 85.87, 86.13, 83.82, 84.12, 81.93, 82.28, 79.20, 79.62, 74.63, 75.17, 74.33, 74.06, 73.24, 72.01, 71.22, 71.06, 70.29, 70.18, 68.68, 67.90, 67.18, 67.18, 65.80, 65.86, 65.19, 64.66, 64.03, 64.20, 63.60, 63.25, 62.68, 62.97, 62.43, 62.77, 61.29, 61.72, 60.01, 59.62, 58.52, 59.14, 57.27, 58.05, 57.04, 58.01, 66.73, 66.37, 68.51, 68.24, 69.40, 69.20, 71.06, 71.70, 73.66, 73.59, 74.97, 74.95, 75.66, 75.69, 76.42, 77.16, 77.90, 77.99, 78.75, 78.87, 79.65, 80.60, 81.40, 81.84, 82.66, 85.96, 86.83, 88.55, 88.10, 88.57, 88.14, 90.08, 89.69, 90.25, 89.89, 90.48, 90.48, 91.08, 86.28, 85.21, 85.09, 84.10, 84.01, 83.00, 83.22, 82.30, 82.73, 81.74, 82.20, 81.39, 84.12, 83.17, 84.15, 83.22, 83.93, 83.38, 83.38, 82.86, 83.26, 82.76, 82.76, 82.29, 81.39, 80.95, 80.06, 79.65, 78.77, 77.41, 75.66, 72.95, 72.95, 71.59, 71.12, 69.77, 69.77, 68.43, 67.54, 66.19, 56.60, 56.30, 54.64, 54.41, 53.60, 52.80, 52.01, 50.93, 50.21, 50.21, 49.52, 49.04, 47.80, 48.01, 46.87, 47.51, 47.01, 46.53, 44.38, 44.94, 43.97, 45.35, 44.55, 44.41, 44.28, 44.18, 43.10, 43.05, 41.00, 41.01, 38.33, 38.47, 37.85, 38.08, 37.36, 38.63, 39.92, 40.31, 41.63, 42.05, 42.49, 43.42, 44.78, 49.82, 52.63, 53.26, 53.91, 54.56, 55.97, 56.64, 59.46, 60.14, 60.83, 61.52, 62.94","Max Radius: 97.74 at point (245, 303)","Min Radius: 37.36 at point (330, 290)","Closest Opposite Polygon Point (Min): (338, 383)","Closest Opposite Polygon Point (Max): (426, 356)",Distance between Min Radius and Opposite: 93,Distance between Max Radius and Opposite: 189,"Max Width: 74, Max Height: 195"
2,"(95, 141)","46.14, 45.79, 47.43, 48.01, 49.20, 49.04, 49.68, 49.58, 52.33, 52.35, 60.00, 60.80, 64.90, 65.19, 66.04, 66.37, 68.96, 69.35, 72.90, 73.79, 75.58, 76.06, 76.97, 77.47, 78.39, 78.92, 79.85, 85.44, 86.40, 86.40, 90.24, 90.03, 90.80, 92.76, 93.74, 94.73, 93.43, 91.66, 90.67, 85.33, 85.51, 77.79, 76.84, 74.09, 73.16, 71.69, 70.77, 70.26, 66.64, 66.19, 60.03, 59.17, 51.61, 51.40, 50.61, 50.45, 48.17, 48.10, 45.97, 45.28, 43.93, 44.05, 42.20, 42.44, 38.08, 38.63, 36.67, 36.50, 36.35, 38.12, 38.01, 39.00, 43.38, 42.94, 43.91, 43.57, 44.10, 43.83, 44.41, 45.00, 46.86, 46.75, 48.80, 48.80, 49.52, 49.58, 50.33, 51.09, 52.63, 52.80, 54.41, 54.64, 55.47, 55.76, 56.60, 57.45, 58.31, 58.67, 59.54, 60.37, 61.27, 63.16, 64.08, 66.73, 67.68, 67.36, 68.31, 69.26, 74.53, 74.53, 76.94, 76.94, 77.78, 77.06, 76.11, 76.24, 73.44, 73.55, 69.05, 68.07, 67.27, 66.29, 63.79, 62.82, 62.10, 61.13, 59.77, 58.82, 57.87, 56.92, 54.23, 53.31, 52.80, 51.89, 50.12, 49.24, 47.43, 45.80, 45.61, 44.82, 43.86, 42.43, 42.45, 41.77, 42.01, 41.40, 40.80, 39.12, 39.45, 38.95, 39.81, 39.40, 39.00, 37.64, 39.62, 39.20, 40.11","Max Radius: 94.73 at point (2, 123)","Min Radius: 36.35 at point (90, 177)","Closest Opposite Polygon Point (Min): (99, 102)","Closest Opposite Polygon Point (Max): (172, 152)",Distance between Min Radius and Opposite: 76,Distance between Max Radius and Opposite: 172,"Max Width: 72, Max Height: 189"
3,"(59, 467)","14.42, 16.16, 17.09, 17.72, 18.68, 19.65, 19.42, 21.10, 22.09, 26.02, 27.02, 31.26, 31.26, 33.54, 35.11, 35.11, 34.48, 29.83, 28.86, 27.89, 26.93, 25.71, 24.74, 22.36, 21.38, 16.03, 15.03, 11.18, 10.20, 8.94, 9.43, 8.60, 8.25","Max Radius: 35.11 at point (26, 479)","Min Radius: 8.25 at point (61, 459)","Closest Opposite Polygon Point (Min): (69, 465)","Closest Opposite Polygon Point (Max): (88, 474)",Distance between Min Radius and Opposite: 10,Distance between Max Radius and Opposite: 62,"Max Width: 16, Max Height: 70"
4,"(223, 464)","18.03, 17.49, 18.79, 19.70, 19.31, 24.08, 28.30, 25.00, 22.36, 21.47, 20.62, 17.09, 16.76, 14.56, 10.77, 9.49, 6.71, 1.41, 6.08, 7.00, 10.00","Max Radius: 28.30 at point (199, 479)","Min Radius: 1.41 at point (224, 463)","Closest Opposite Polygon Point (Min): (224, 463)","Closest Opposite Polygon Point (Max): (237, 468)",Distance between Min Radius and Opposite: 0,Distance between Max Radius and Opposite: 40,"Max Width: 2, Max Height: 56"
5,"(262, 217)","16.97, 18.79, 20.25, 19.42, 19.21, 17.69, 17.69, 13.60, 13.00, 13.42, 14.42, 13.89, 14.32, 13.34, 10.82, 11.40, 10.63, 9.90, 10.30, 11.18, 10.77, 10.44, 12.04","Max Radius: 20.25 at point (245, 228)","Min Radius: 9.90 at point (269, 210)","Closest Opposite Polygon Point (Min): (249, 229)","Closest Opposite Polygon Point (Max): (275, 214)",Distance between Min Radius and Opposite: 28,Distance between Max Radius and Opposite: 33,"Max Width: 19, Max Height: 40"
6,"(254, 441)","10.82, 10.00, 10.00, 10.82, 11.66, 11.18, 11.70, 14.21, 13.60, 12.53, 13.00, 12.00, 9.43, 8.60, 8.49, 8.49, 8.94, 8.54, 9.49, 9.49, 8.54, 8.94, 8.49, 8.49, 8.60, 9.43, 9.85","Max Radius: 14.21 at point (243, 450)","Min Radius: 8.49 at point (260, 447)","Closest Opposite Polygon Point (Min): (248, 433)","Closest Opposite Polygon Point (Max): (262, 437)",Distance between Min Radius and Opposite: 18,Distance between Max Radius and Opposite: 23,"Max Width: 16, Max Height: 28"
7,"(176, 473)","6.40, 8.25, 8.25, 14.32, 15.23, 26.68, 26.48","Max Radius: 26.68 at point (202, 479)","Min Radius: 6.40 at point (172, 468)","Closest Opposite Polygon Point (Min): (172, 468)","Closest Opposite Polygon Point (Max): (162, 476)",Distance between Min Radius and Opposite: 0,Distance between Max Radius and Opposite: 40,"Max Width: 12, Max Height: 53"
