Cell Number,Centroid,Radii,Max/Min Radius,Closest Opposite Polygon Points,Distance Min/Max,Max Dimensions
1,"(363, 250)","53.67, 53.24, 54.20, 53.85, 54.92, 55.47, 56.61, 56.40, 57.01, 56.85, 57.49, 57.38, 58.73, 59.41, 60.11, 60.14, 60.88, 60.96, 61.72, 62.80, 63.60, 63.82, 64.64, 66.04, 66.89, 67.23, 68.10, 69.77, 70.66, 74.46, 74.09, 76.22, 75.89, 78.16, 77.88, 78.59, 78.34, 80.05, 79.83, 80.60, 80.60, 81.39, 81.05, 82.04, 81.22, 80.31, 80.40, 79.51, 80.06, 79.25, 79.25, 78.45, 78.64, 77.88, 78.10, 77.37, 77.62, 75.58, 75.58, 74.95, 75.61, 74.67, 75.03, 73.93, 73.93, 73.41, 73.82, 71.59, 72.07, 70.49, 69.64, 68.24, 67.42, 67.20, 64.03, 63.89, 61.62, 60.88, 60.14, 60.11, 57.31, 57.38, 53.01, 53.25, 50.61, 50.12, 49.65, 50.09, 49.24, 49.77, 49.04, 49.65, 48.27, 48.05, 47.38, 48.51, 49.24, 50.45, 52.20, 53.49, 60.46, 60.22, 62.01, 61.85, 65.12, 65.07, 66.47, 67.18, 70.84, 70.94, 72.47, 72.80, 73.60, 74.63, 75.45, 77.18, 78.03, 80.06, 79.61, 80.06, 80.06, 81.02, 80.62, 81.54, 81.15, 81.71, 81.34, 81.93, 81.27, 81.91, 81.32, 82.28, 81.25, 82.00, 80.06, 79.03, 79.01, 78.00, 78.01, 77.01, 77.10, 76.11, 76.53, 75.66, 75.66, 74.81, 74.97, 74.15, 74.33, 73.55, 73.76, 73.01, 73.25, 71.57, 71.84, 71.17, 71.47, 69.29, 69.64, 64.01, 63.13, 62.77, 61.91, 60.46, 59.64, 59.41, 58.60, 58.26, 57.49, 56.73, 55.97, 55.90, 54.45, 53.81, 52.50, 53.01, 52.43, 51.87, 50.77, 51.11, 50.61, 51.00, 50.54, 50.99, 50.16, 49.77, 48.08, 48.76, 48.27, 49.03","Max Radius: 82.28 at point (442, 273)","Min Radius: 47.38 at point (369, 297)","Closest Opposite Polygon Point (Min): (373, 202)","Closest Opposite Polygon Point (Max): (288, 228)",Distance between Min Radius and Opposite: 95,Distance between Max Radius and Opposite: 160,"Max Width: 94, Max Height: 164"
2,"(168, 107)","58.69, 57.87, 58.05, 57.49, 57.72, 55.36, 55.71, 54.63, 55.04, 56.22, 55.00, 56.04, 55.47, 56.08, 55.57, 55.95, 55.47, 56.36, 55.95, 56.86, 55.71, 56.30, 55.66, 56.61, 56.32, 57.01, 56.52, 57.27, 56.72, 57.56, 57.43, 59.21, 59.21, 60.13, 60.03, 61.03, 69.84, 68.96, 69.46, 69.12, 69.64, 68.51, 69.07, 68.82, 68.82, 68.25, 68.25, 68.12, 68.77, 67.88, 68.59, 67.48, 66.84, 67.20, 66.61, 66.85, 55.08, 54.04, 54.01, 52.01, 52.04, 52.09, 52.24, 51.35, 51.48, 50.64, 50.80, 50.22, 50.45, 49.73, 50.00, 48.47, 48.85, 47.20, 46.40, 47.01, 47.63, 46.86, 47.38, 46.67, 46.75, 46.75, 46.86, 46.23, 47.20, 46.62, 46.87, 46.32, 47.17, 46.14, 46.53, 46.53, 46.96, 46.52, 47.01, 46.62, 47.17, 46.49, 47.13, 46.84, 47.80, 47.07, 48.05, 48.27, 47.30, 47.80, 47.13, 47.13, 46.49, 46.82, 46.24, 46.62, 46.10, 46.52, 45.18, 46.14, 45.28, 46.32, 46.04, 46.04, 45.80, 46.40, 46.23, 46.86, 46.75, 47.42, 47.38, 48.08, 47.42, 48.92, 49.04, 49.82, 50.00, 50.80, 50.77, 51.62, 52.77, 52.77, 53.23, 55.04, 54.63, 54.23, 54.78, 55.71, 58.46, 58.25, 59.03","Max Radius: 69.84 at point (107, 141)","Min Radius: 45.18 at point (208, 86)","Closest Opposite Polygon Point (Min): (108, 141)","Closest Opposite Polygon Point (Max): (210, 87)",Distance between Min Radius and Opposite: 114,Distance between Max Radius and Opposite: 116,"Max Width: 90, Max Height: 139"
3,"(42, 336)","39.81, 35.47, 35.47, 32.89, 31.95, 31.62, 29.73, 28.46, 28.46, 25.96, 25.00, 24.74, 21.84, 21.59, 20.62, 19.42, 18.44, 17.12, 16.12, 15.03, 15.03, 11.18, 12.81, 14.21, 14.87, 16.28, 16.97, 17.69, 18.44, 19.85, 20.62, 22.02, 22.80, 29.21, 29.21, 30.61, 33.24, 34.66, 34.71, 38.60, 38.01, 36.62, 36.62, 36.89, 36.36, 36.72, 36.72, 37.12, 38.01, 38.48, 43.08, 43.46, 42.95, 41.15, 39.45, 38.59, 37.20, 37.80, 37.64, 36.88, 36.12, 36.80, 36.77, 36.07, 36.12, 35.47, 34.83, 35.61, 35.85, 35.36, 35.78, 35.34, 35.47, 35.11, 35.74, 35.44, 36.14, 35.69, 36.50, 36.22, 35.23, 34.37, 33.38, 32.02, 31.05, 30.08, 29.15, 28.84, 28.02, 27.66, 27.66, 27.59, 26.91, 27.66, 27.02, 27.20, 26.63, 28.18, 27.73, 28.64, 28.23, 29.41, 29.41, 30.08, 29.83, 30.59, 30.59, 33.14, 33.06, 34.01, 34.00, 36.01, 36.06, 37.12, 37.34, 38.47, 38.64, 39.81, 40.02, 41.23, 41.76, 42.72, 50.80, 49.58, 49.58, 48.84","Max Radius: 50.80 at point (83, 306)","Min Radius: 11.18 at point (37, 326)","Closest Opposite Polygon Point (Min): (62, 354)","Closest Opposite Polygon Point (Max): (3, 354)",Distance between Min Radius and Opposite: 38,Distance between Max Radius and Opposite: 93,"Max Width: 22, Max Height: 101"
