Cell Number,Centroid,Radii,Max/Min Radius,Closest Opposite Polygon Points,Distance Min/Max,Max Dimensions
1,"(349, 264)","83.67, 82.35, 81.54, 78.55, 78.19, 76.90, 76.55, 76.22, 75.89, 73.38, 73.08, 71.84, 71.57, 71.31, 71.06, 67.47, 67.27, 63.64, 63.51, 63.39, 62.39, 60.21, 60.13, 60.07, 59.08, 57.01, 57.00, 57.01, 56.01, 55.04, 55.08, 51.62, 51.79, 49.73, 50.00, 48.47, 48.85, 47.89, 48.37, 48.88, 48.02, 47.43, 48.01, 48.60, 47.80, 48.17, 47.42, 47.38, 46.67, 48.41, 47.80, 48.01, 48.83, 49.93, 49.40, 49.74, 50.61, 53.31, 53.31, 53.85, 53.49, 54.08, 55.03, 55.03, 55.66, 55.36, 56.04, 56.04, 57.49, 57.27, 58.25, 58.05, 58.86, 58.69, 61.29, 61.20, 62.13, 62.07, 64.03, 64.01, 65.00, 65.01, 66.03, 66.07, 68.18, 68.26, 69.26, 69.46, 70.58, 70.71, 72.99, 72.99, 74.15, 74.53, 75.50, 75.71, 76.90, 77.13, 79.31, 80.08, 81.32, 82.54, 83.49, 97.42, 96.61, 97.20, 97.01, 97.62, 97.45, 98.08, 97.08, 97.74, 97.67, 97.67, 96.94, 96.26, 95.67, 95.02, 95.13, 94.49, 94.64, 86.09, 84.72, 83.73, 82.37, 80.95, 80.50, 78.79, 77.47, 76.32, 75.03, 74.33, 72.73, 72.12, 70.88, 70.34, 67.68, 67.47, 66.29, 66.10, 64.94, 64.78, 63.51, 63.39, 62.29, 62.20, 61.13, 61.07, 60.01, 60.00, 59.01, 59.03, 57.22, 57.31, 56.44, 56.57, 55.73, 55.90, 55.32, 55.54, 54.12, 54.41, 54.08, 54.42, 53.85, 54.23, 53.24, 53.71, 53.74, 53.04, 53.91, 53.26, 53.41, 53.41, 53.82, 53.25, 54.38, 53.34, 54.59, 54.12, 55.46, 54.63, 55.15, 55.15, 56.30, 55.97, 56.92, 56.32, 57.01, 57.01, 58.46, 58.25, 59.23, 58.86, 59.68, 59.68, 60.53, 60.41, 61.29, 61.29, 62.20, 62.07, 63.07, 63.01, 65.00, 65.01, 66.03, 66.12, 67.19, 67.27, 69.35, 69.46, 70.58, 70.86, 72.01, 72.01, 73.16, 73.35, 74.53, 74.53, 75.71, 76.16, 77.37, 77.88, 78.85, 79.12, 80.36, 80.65, 81.91, 82.87, 84.15, 101.67, 101.53, 102.83, 102.73, 103.39, 102.65, 103.32, 103.28, 103.97, 103.25, 103.95, 103.95, 104.66, 103.97, 103.28, 103.32","Max Radius: 104.66 at point (422, 189)","Min Radius: 46.67 at point (316, 231)","Closest Opposite Polygon Point (Min): (387, 301)","Closest Opposite Polygon Point (Max): (283, 335)",Distance between Min Radius and Opposite: 100,Distance between Max Radius and Opposite: 202,"Max Width: 93, Max Height: 209"
2,"(625, 427)","17.03, 18.79, 18.38, 19.31, 20.12, 18.44, 17.69, 17.69, 13.04, 10.82, 10.00, 10.63, 9.90, 10.00, 9.43, 10.30, 9.85, 10.44, 9.22, 9.06, 8.00, 8.06, 7.07, 7.28, 6.71, 8.49, 9.22, 10.20, 10.05, 10.00, 11.05","Max Radius: 20.12 at point (607, 436)","Min Radius: 6.71 at point (631, 424)","Closest Opposite Polygon Point (Min): (612, 439)","Closest Opposite Polygon Point (Max): (631, 421)",Distance between Min Radius and Opposite: 24,Distance between Max Radius and Opposite: 28,"Max Width: 13, Max Height: 40"
3,"(511, 53)","48.26, 27.07, 23.02, 23.19, 22.36, 22.36, 21.59, 21.84, 21.19, 21.19, 20.62, 21.47, 21.10, 21.63, 20.52, 21.93, 22.47, 22.47, 22.83, 23.71, 24.35, 25.30, 25.71, 26.68, 28.16, 39.12, 40.05, 40.05, 42.00, 42.01, 43.05, 43.10, 43.19, 47.01, 46.96, 47.41, 37.20, 35.81, 35.00, 33.60, 27.59, 28.32, 27.02, 27.20, 22.02, 20.02, 20.22, 19.42, 19.92, 19.31, 20.12, 19.72, 20.81, 20.62, 23.35, 23.02, 23.85, 23.32, 25.06, 25.50, 25.50, 25.08, 26.25, 27.20, 26.93, 26.68, 27.46, 27.17, 29.02, 29.00, 29.02, 29.07, 30.15, 30.27, 31.40, 32.39, 32.56, 37.95, 38.90, 40.16, 41.11, 42.38","Max Radius: 48.26 at point (484, 13)","Min Radius: 19.31 at point (529, 46)","Closest Opposite Polygon Point (Min): (492, 61)","Closest Opposite Polygon Point (Max): (533, 95)",Distance between Min Radius and Opposite: 40,Distance between Max Radius and Opposite: 96,"Max Width: 38, Max Height: 96"
